:ID,:LABEL,namespace:string,species:float,reactome_pathways:string,label:string,pure:boolean,chebi:float,bel:string,name:string,involved_genes:string,uniprot:string,reactome:string,hgnc:string
3388,Protein,MGI,10090.0,Factors involved in megakaryocyte development and platelet production;Prolactin receptor signaling;Growth hormone receptor signaling,SH2B adapter protein 1,False,,"p(MGI:""Sh2b1"")",Sh2b1,Sh2b1,Q91ZM2,,
3389,Protein,HGNC,9606.0,Regulation of NF-kappa B signaling;Ub-specific processing proteases,Ubiquitin carboxyl-terminal hydrolase 14,False,,"p(HGNC:""USP14"")",USP14,USP14,P54578,#1783:13719,1564X8019
3390,Protein,RGD,10116.0,,,False,,"p(RGD:""Map3k4"")",Map3k4,Map3k4,,,
3391,Protein,MGI,10090.0,Signaling by Activin,Activin receptor type-1C,False,,"p(MGI:""Acvr1c"")",Acvr1c,Acvr1c,Q8K348,,
3392,Protein,MGI,10090.0,G alpha (q) signalling events;Muscarinic acetylcholine receptors,Muscarinic acetylcholine receptor M1,False,,"p(MGI:""Chrm1"")",Chrm1,Chrm1,P12657,,
3393,Protein,HGNC,9606.0,G alpha (s) signalling events;Prostanoid ligand receptors,Prostaglandin E2 receptor EP4 subtype,False,,"p(HGNC:""PTGER4"")",PTGER4,PTGER4,P35408,#1783:13069;#1776:6232,1576X7110
3394,Protein,RGD,10116.0,,Tuberin,,,"p(RGD:""Tsc2"",pmod(Ph))",Tsc2,Tsc2,P49816,,
3395,Protein,RGD,10116.0,NTF3 activates NTRK3 signaling;Activated NTRK3 signals through PI3K;Activated NTRK3 signals through PLCG1;Receptor-type tyrosine-protein phosphatases,NT-3 growth factor receptor,False,,"p(RGD:""Ntrk3"")",Ntrk3,Ntrk3,Q03351,,
3396,Protein,RGD,10116.0,,,,,"p(RGD:""Clec4b2"",pmod(Ub))",Clec4b2,Clec4b2,,,
3397,Protein,MESHC,,,,False,,"p(MESHC:""Receptors, Growth Factor"")","Receptors, Growth Factor","Receptors, Growth Factor",,,
3398,Protein,HGNC,9606.0,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Killer cell immunoglobulin-like receptor 2DL4,False,,"p(HGNC:""KIR2DL4"")",KIR2DL4,KIR2DL4,Q99706,#1782:10717,1569X6288
3399,Protein,MGI,10090.0,SUMOylation of ubiquitinylation proteins;Regulation of TP53 Activity through Acetylation;SUMOylation of DNA damage response and repair proteins;Regulation of RUNX1 Expression and Activity;Regulation of PTEN localization,Protein PML,False,,"p(MGI:""Pml"")",Pml,Pml,Q60953,,
3400,Protein,MGI,10090.0,,"Nuclear factor of activated T-cells, cytoplasmic 3",,,"p(MGI:""Nfatc3"",pmod(Ph))",Nfatc3,Nfatc3,P97305,,
3401,Protein,HGNC,9606.0,,Dynamin-1-like protein,,,"p(HGNC:""DNM1L"",pmod(Ph))",DNM1L,DNM1L,O00429,,1575X5841
3402,Protein,MGI,10090.0,,Voltage-dependent calcium channel subunit alpha-2/delta-4,False,,"p(MGI:""Cacna2d4"")",Cacna2d4,Cacna2d4,Q5RJF7,,
3403,Protein,MGI,10090.0,Cargo concentration in the ER;Neutrophil degranulation;COPII-mediated vesicle transport;Metabolism of Angiotensinogen to Angiotensins;Lysosome Vesicle Biogenesis,Cathepsin Z,False,,"p(MGI:""Ctsz"")",Ctsz,Ctsz,Q9WUU7,,
3404,Protein,MGI,10090.0,Anchoring of the basal body to the plasma membrane,Tau-tubulin kinase 2,False,,"p(MGI:""Ttbk2"")",Ttbk2,Ttbk2,Q3UVR3,,
3405,Protein,HGNC,9606.0,,Pyrin,,,"p(HGNC:""MEFV"",pmod(Ph))",MEFV,MEFV,O15553,,1573X6556
3406,Protein,RGD,10116.0,Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;Retrograde transport at the Trans-Golgi-Network;Lysosome Vesicle Biogenesis,Cation-dependent mannose-6-phosphate receptor,False,,"p(RGD:""M6pr"")",M6pr,M6pr,Q6AY20,,
3407,Protein,MGI,10090.0,,,False,,"p(MGI:""Olfr954"")",Olfr954,Olfr954,,,
3408,Protein,HGNC,9606.0,,Neural cell adhesion molecule 2,False,,"p(HGNC:""NCAM2"")",NCAM2,NCAM2,O15394,,1561X6803
3409,Protein,HGNC,9606.0,,Serine/threonine-protein kinase SIK2,,,"p(HGNC:""SIK2"",pmod(Ph))",SIK2,SIK2,Q9H0K1,,1565X7620
3410,Protein,MGI,10090.0,,,False,,"p(MGI:""Olfr742"")",Olfr742,Olfr742,,,
3411,Protein,RGD,10116.0,,Eukaryotic elongation factor 2 kinase,,,"p(RGD:""Eef2k"",pmod(Ph))",Eef2k,Eef2k,P70531,,
3412,Protein,HGNC,9606.0,ALK mutants bind TKIs;Factors involved in megakaryocyte development and platelet production;DARPP-32 events;Glucagon-like Peptide-1 (GLP1) regulates insulin secretion;CREB1 phosphorylation through the activation of Adenylate Cyclase;ADORA2B mediated anti-inflammatory cytokines production;PKA activation in glucagon signalling;FCGR3A-mediated IL10 synthesis;Hedgehog 'off' state;GPER1 signaling;Vasopressin regulates renal water homeostasis via Aquaporins;Signaling by ALK fusions and activated point mutants;PKA activation,cAMP-dependent protein kinase type I-alpha regulatory subunit,False,,"p(HGNC:""PRKAR1A"")",PRKAR1A,PRKAR1A,P10644,#1772:11698;#1775:2773;#1771:14505;#1784:4068;#1780:4860;#1779:13209;#1769:9611;#1775:16448,1571X7083
3413,Protein,FLYBASE,7227.0,,,False,,"p(FLYBASE:""drk"")",drk,drk,,,
3414,Protein,MGI,10090.0,,,False,,"p(MGI:""Olfr564"")",Olfr564,Olfr564,,,
3415,Protein,HGNC,9606.0,Calmodulin induced events;G alpha (s) signalling events;Cargo recognition for clathrin-mediated endocytosis;Activation of SMO;G alpha (q) signalling events,Beta-adrenergic receptor kinase 1,False,,"p(HGNC:""GRK2"")",GRK2,GRK2,P25098,#1775:14147;#1779:2271;#1778:2559;#1772:9397;#1783:4646;#1778:16234,1562X6090
3416,Protein,HGNC,9606.0,"G beta:gamma signalling through PI3Kgamma;Prostacyclin signalling through prostacyclin receptor;Glucagon signaling in metabolic regulation;Glucagon-like Peptide-1 (GLP1) regulates insulin secretion;ADP signalling through P2Y purinoceptor 12;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;G alpha (z) signalling events;ADORA2B mediated anti-inflammatory cytokines production;Adrenaline,noradrenaline inhibits insulin secretion;G alpha (s) signalling events;G alpha (i) signalling events;G-protein activation;Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits;Activation of G protein gated Potassium channels;G alpha (12/13) signalling events;Thromboxane signalling through TP receptor;Presynaptic function of Kainate receptors;G alpha (q) signalling events;Glucagon-type ligand receptors;Thrombin signalling through proteinase activated receptors (PARs);G beta:gamma signalling through BTK;G beta:gamma signalling through PLC beta;G beta:gamma signalling through CDC42;Ca2+ pathway;ADP signalling through P2Y purinoceptor 1;GPER1 signaling;Vasopressin regulates renal water homeostasis via Aquaporins;Extra-nuclear estrogen signaling",Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,False,,"p(HGNC:""GNG5"")",GNG5,GNG5,P63218,#1781:6524;#1772:8108;#1782:14369;#1781:3429;#1769:16457;#1769:2782;#1774:15665;#1782:16960;#1775:12858;#1783:8971;#1775:7676;#1778:17608;#1775:4581;#1774:4869;#1779:9619;#1779:3933;#1783:118;#1772:5229;#1772:10771;#1772:2134;#1778:982;#1779:6956;#1777:1270;#1775:18112;#1784:11418;#1776:10123;#1784:6020;#1778:4077;#1777:12570;#1782:11706;#1773:13218;#1781:14513,1574X6063
3417,Protein,RGD,10116.0,Trafficking of AMPA receptors;LGI-ADAM interactions,Voltage-dependent calcium channel gamma-3 subunit,False,,"p(RGD:""Cacng3"")",Cacng3,Cacng3,Q8VHX0,,
3418,Protein,MGI,10090.0,,,False,,"p(MGI:""Olfr362"")",Olfr362,Olfr362,,,
3419,Protein,HGNC,9606.0,"Endosomal/Vacuolar pathway;Antigen Presentation: Folding, assembly and peptide loading of class I MHC;Amyloid fiber formation;DAP12 signaling;Modulation by Mtb of host immune system;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Interferon gamma signaling;Neutrophil degranulation;DAP12 interactions;ER-Phagosome pathway;Nef mediated downregulation of MHC class I complex cell surface expression;SARS-CoV-2 activates/modulates innate and adaptive immune responses",Beta-2-microglobulin,False,,"p(HGNC:""B2M"")",B2M,B2M,P61769,#1780:11921;#1772:5084;#1783:8826;#1781:6379;#1778:837;#1784:11273;#1781:333;#1783:14008;#1777:7171;#1782:16815;#1774:15520;#1770:2421,1567X5545
3420,Protein,HGNC,9606.0,Interleukin-36 pathway,Interleukin-36 beta,False,,"p(HGNC:""IL36B"")",IL36B,IL36B,Q9NZH7,#1771:11440,1573X6238
3421,Protein,RGD,10116.0,,Linker for activation of T-cells family member 1,,,"p(RGD:""Lat"",pmod(Ph))",Lat,Lat,O70601,,
3422,Protein,MGI,10090.0,,,False,,"p(MGI:""Olfr152"")",Olfr152,Olfr152,,,
3423,Protein,HGNC,9606.0,TP53 Regulates Metabolic Genes;Respiratory electron transport;Cytoprotection by HMOX1,"Cytochrome c oxidase subunit 5B, mitochondrial",False,,"p(HGNC:""COX5B"")",COX5B,COX5B,P10606,#1778:16016;#1776:5580,1572X5742
3424,Protein,HGNC,9606.0,Expression and translocation of olfactory receptors,Olfactory receptor 2L3,False,,"p(HGNC:""OR2L3"")",OR2L3,OR2L3,Q8NG85,#1772:17985,1574X6890
3425,Protein,MGI,10090.0,FCERI mediated NF-kB activation;CLEC7A (Dectin-1) signaling;Downstream TCR signaling;Activation of NF-kappaB in B cells,Caspase recruitment domain-containing protein 11,False,,"p(MGI:""Card11"")",Card11,Card11,Q8CIS0,,
3426,Protein,HGNC,9606.0,Activation of NF-kappaB in B cells,Proto-oncogene c-Rel,False,,"p(HGNC:""REL"")",REL,REL,Q04864,#1774:12500,1566X7166
3427,Protein,HGNC,9606.0,NPAS4 regulates expression of target genes;Regulation of NPAS4 mRNA translation,Neuronal PAS domain-containing protein 4,False,,"p(HGNC:""NPAS4"")",NPAS4,NPAS4,Q8IUM7,,1574X6845
3428,Protein,HGNC,9606.0,G alpha (s) signalling events;cGMP effects,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",False,,"p(HGNC:""PDE11A"")",PDE11A,PDE11A,Q9HCR9,#1776:11367;#1770:931,1575X6980
3429,Protein,RGD,10116.0,G alpha (q) signalling events;Muscarinic acetylcholine receptors,Muscarinic acetylcholine receptor M3,False,,"p(RGD:""Chrm3"")",Chrm3,Chrm3,P08483,,
3430,Protein,MGI,10090.0,Extrinsic Pathway of Fibrin Clot Formation,Tissue factor,False,,"p(MGI:""F3"")",F3,F3,P20352,,
3431,Protein,RGD,10116.0,,,,,"p(RGD:""Rb1cc1"",pmod(Ph))",Rb1cc1,Rb1cc1,,,
3432,Protein,HGNC,9606.0,,Transforming growth factor beta receptor type 3,False,,"p(HGNC:""TGFBR3"")",TGFBR3,TGFBR3,Q03167,,1561X7828
3433,Protein,HGNC,9606.0,CD163 mediating an anti-inflammatory response;NOD1/2 Signaling Pathway;Activation of the AP-1 family of transcription factors;Platelet sensitization by LDL;RHO GTPases Activate NADPH Oxidases;activated TAK1 mediates p38 MAPK activation;Neutrophil degranulation;Regulation of TP53 Activity through Phosphorylation;Oxidative Stress Induced Senescence;p38MAPK events;Activation of PPARGC1A (PGC-1alpha) by phosphorylation;Myogenesis;VEGFA-VEGFR2 Pathway;ERK/MAPK targets;KSRP (KHSRP) binds and destabilizes mRNA;ADP signalling through P2Y purinoceptor 1;DSCAM interactions,Mitogen-activated protein kinase 14,False,,"p(HGNC:""MAPK14"")",MAPK14,MAPK14,Q16539,#1776:18260;#1771:5809;#1782:12070;#1781:17396;#1775:15813;#1776:7824;#1777:4657;#1782:3721;#1770:2930;#1778:15309;#1772:8472;#1773:5377;#1777:10271;#1774:13366;#1775:10559;#1773:2282;#1772:16245;#1777:1634,1563X6539
3434,Protein,RGD,10116.0,,,False,,"p(RGD:""Tnfsf9"")",Tnfsf9,Tnfsf9,,,
3435,Protein,MGI,10090.0,ECM proteoglycans,Tenascin-N,False,,"p(MGI:""Tnn"")",Tnn,Tnn,Q80Z71,,
3436,Protein,HGNC,9606.0,,Ras-related GTP-binding protein C,,,"p(HGNC:""RRAGC"",loc(GO:""lysosome""))",RRAGC,RRAGC,Q9HB90,,1574X7550
3437,Protein,FLYBASE,7227.0,,,False,,"p(FLYBASE:""Nfs1"")",Nfs1,Nfs1,,,
3438,Protein,RGD,10116.0,,,False,,"p(RGD:""RGD1564933"")",RGD1564933,RGD1564933,,,
3439,Protein,HGNC,9606.0,"SHC-related events triggered by IGF1R;Activated NTRK3 signals through RAS;Signal attenuation;Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants;Potential therapeutics for SARS;SHC1 events in ERBB4 signaling;Signalling to RAS;Signaling by FGFR1 in disease;Constitutive Signaling by Overexpressed ERBB2;Signaling by ERBB2 TMD/JMD mutants;Constitutive Signaling by EGFRvIII;Signaling by FGFR2 in disease;FLT3 Signaling;Signaling by FLT3 fusion proteins;FCERI mediated MAPK activation;GRB2:SOS provides linkage to MAPK signaling for Integrins;FRS-mediated FGFR1 signaling;GRB2 events in EGFR signaling;NRAGE signals death through JNK;DAP12 signaling;Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;SHC-mediated cascade:FGFR2;Downstream signal transduction;SHC-mediated cascade:FGFR1;SHC-mediated cascade:FGFR4;Signaling by FGFR4 in disease;SHC-mediated cascade:FGFR3;FRS-mediated FGFR4 signaling;Signaling by ERBB2 ECD mutants;Erythropoietin activates RAS;Role of LAT2/NTAL/LAB on calcium mobilization;SHC1 events in EGFR signaling;NCAM signaling for neurite out-growth;MET activates RAS signaling;Signaling by FGFR3 in disease;Interleukin receptor SHC signaling;Regulation of KIT signaling;Insulin receptor signalling cascade;FRS-mediated FGFR3 signaling;Activation of RAC1;RET signaling;Interleukin-15 signaling;SOS-mediated signalling;G alpha (12/13) signalling events;Tie2 Signaling;Signaling by SCF-KIT;Activated NTRK2 signals through RAS;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Signaling by PDGFRA extracellular domain mutants;EGFR Transactivation by Gastrin;RAF/MAP kinase cascade;Activated NTRK2 signals through FRS2 and FRS3;Signaling by ERBB2 KD Mutants;SHC1 events in ERBB2 signaling;FRS-mediated FGFR2 signaling;GRB2 events in ERBB2 signaling;Signaling by CSF1 (M-CSF) in myeloid cells;Signaling by FLT3 ITD and TKD mutants;FCERI mediated Ca+2 mobilization;RAC1 GTPase cycle",Son of sevenless homolog 1,False,,"p(HGNC:""SOS1"")",SOS1,SOS1,Q07889,#1778:3935;#1784:5806;#1772:13220;#1775:15307;#1780:14515;#1774:7678;#1782:8973;#1773:4871;#1772:10557;#1772:15811;#1782:120;#1777:984;#1771:5231;#1783:2927;#1769:8470;#1773:15667;#1781:16962;#1775:8758;#1770:10917;#1770:2280;#1773:18258;#1780:480;#1778:17394;#1774:4655;#1780:6526;#1779:3719;#1775:10125;#1783:11420;#1770:769;#1776:12572;#1776:11205;#1774:16747;#1784:2783;#1774:4583;#1778:9621;#1784:16458;#1781:14371;#1773:7822;#1771:2136;#1783:6022;#1776:1272;#1778:6958;#1781:11708;#1777:4079;#1782:14155;#1774:12860;#1769:16243;#1770:5375;#1776:7318;#1777:17610;#1769:2568;#1774:10269;#1774:1632;#1771:13364;#1779:9405;#1771:10773;#1771:8110;#1779:12068;#1780:3431;#1774:18114,1566X7726
3440,Protein,MGI,10090.0,Regulation of IFNA/IFNB signaling;Interferon alpha/beta signaling,Interferon alpha-4,False,,"p(MGI:""Ifna4"")",Ifna4,Ifna4,P07351,,
3441,Protein,RGD,10116.0,"HSF1-dependent transactivation;mRNA Splicing - Major Pathway;Clathrin-mediated endocytosis;Regulation of HSF1-mediated heat shock response;Neutrophil degranulation;Protein methylation;AUF1 (hnRNP D0) binds and destabilizes mRNA;GABA synthesis, release, reuptake and degradation;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Attenuation phase;Lysosome Vesicle Biogenesis;Golgi Associated Vesicle Biogenesis",Heat shock cognate 71 kDa protein,False,,"p(RGD:""Hspa8"")",Hspa8,Hspa8,P63018,,
3442,Protein,MGI,10090.0,TWIK-releated acid-sensitive K+ channel (TASK);Phase 4 - resting membrane potential,Potassium channel subfamily K member 3,False,,"p(MGI:""Kcnk3"")",Kcnk3,Kcnk3,O35111,,
3443,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr728"")",Olr728,Olr728,,,
3444,Protein,RGD,10116.0,Nuclear Receptor transcription pathway;SUMOylation of intracellular receptors;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux;NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis;VLDLR internalisation and degradation,Oxysterols receptor LXR-beta,False,,"p(RGD:""Nr1h2"")",Nr1h2,Nr1h2,Q62755,,
3445,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr480"")",Olr480,Olr480,,,
3446,Protein,HGNC,9606.0,TBC/RABGAPs;RAB geranylgeranylation;MET receptor recycling;Translocation of SLC2A4 (GLUT4) to the plasma membrane;Synthesis of PIPs at the plasma membrane,Ras-related protein Rab-4A,False,,"p(HGNC:""RAB4A"")",RAB4A,RAB4A,P20338,#1777:471;#1773:7309;#1770:1767;#1783:10907;#1775:12203,1570X7128
3447,Protein,HGNC,9606.0,Other interleukin signaling;Interleukin-20 family signaling;Interleukin-10 signaling,Interleukin-10 receptor subunit beta,False,,"p(HGNC:""IL10RB"")",IL10RB,IL10RB,Q08334,#1772:265;#1771:11853;#1784:7102,1566X6236
3448,Protein,FLYBASE,7227.0,,,False,,"p(FLYBASE:""GNBP1"")",GNBP1,GNBP1,,,
3449,Protein,MGI,10090.0,ERK/MAPK targets;Gastrin-CREB signalling pathway via PKC and MAPK;Senescence-Associated Secretory Phenotype (SASP);CREB phosphorylation;RSK activation;CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Ribosomal protein S6 kinase alpha-1,False,,"p(MGI:""Rps6ka1"")",Rps6ka1,Rps6ka1,P18653,,
3450,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr250"")",Olr250,Olr250,,,
3451,Protein,RGD,10116.0,,,False,,"p(RGD:""Ptprj"")",Ptprj,Ptprj,,,
3452,Protein,HGNC,9606.0,,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,,,"p(HGNC:""PPP2CA"",var(""p.Arg295_Leu309del""))",PPP2CA,PPP2CA,P67775,,1562X7071
3453,Protein,MGI,10090.0,"FGFR1b ligand binding and activation;Negative regulation of FGFR1 signaling;Negative regulation of FGFR2 signaling;Downstream signaling of activated FGFR1;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;FRS-mediated FGFR1 signaling;RAF/MAP kinase cascade;FGFR2b ligand binding and activation;FRS-mediated FGFR2 signaling;SHC-mediated cascade:FGFR2;Phospholipase C-mediated cascade; FGFR2;SHC-mediated cascade:FGFR1;PI-3K cascade:FGFR1;PI-3K cascade:FGFR2;PI3K Cascade;Phospholipase C-mediated cascade: FGFR1;PIP3 activates AKT signaling;FGFRL1 modulation of FGFR1 signaling",Fibroblast growth factor 10,False,,"p(MGI:""Fgf10"")",Fgf10,Fgf10,O35565,,
3454,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr16"")",Olr16,Olr16,,,
3455,Protein,HGNC,9606.0,,Granzyme A,False,,"p(HGNC:""GZMA"")",GZMA,GZMA,P12544,,1574X6104
3456,Protein,HGNC,9606.0,SUMOylation of ubiquitinylation proteins;Regulation of TP53 Activity through Acetylation;HCMV Early Events;Interferon gamma signaling;SUMOylation of DNA damage response and repair proteins;Regulation of RUNX1 Expression and Activity;Regulation of PTEN localization,Protein PML,False,,"p(HGNC:""PML"")",PML,PML,P29590,#1779:9973;#1778:4431;#1775:1984;#1781:6878;#1781:14867;#1780:12420,1561X7039
3457,Protein,HGNC,9606.0,,TBC1 domain family member 1,,,"p(HGNC:""TBC1D1"",pmod(Ph))",TBC1D1,TBC1D1,Q86TI0,,1570X7802
3458,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr1373"")",Olr1373,Olr1373,,,
3459,Protein,MGI,10090.0,VEGF ligand-receptor interactions;Platelet degranulation;VEGF binds to VEGFR leading to receptor dimerization,Vascular endothelial growth factor C,False,,"p(MGI:""Vegfc"")",Vegfc,Vegfc,P97953,,
3460,Protein,RGD,10116.0,"Signaling by PDGF;Downstream signal transduction;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signaling;RAF/MAP kinase cascade",Platelet-derived growth factor receptor beta,False,,"p(RGD:""Pdgfrb"")",Pdgfrb,Pdgfrb,Q05030,,
3461,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr1145"")",Olr1145,Olr1145,,,
3462,Protein,HGNC,9606.0,Manipulation of host energy metabolism;Glycolysis;Gluconeogenesis,Alpha-enolase,False,,"p(HGNC:""ENO1"")",ENO1,ENO1,P06733,#1774:2268;#1778:4643,1571X5907
3463,Protein,RGD,10116.0,G alpha (i) signalling events;Chemokine receptors bind chemokines,C-C motif chemokine 4,False,,"p(RGD:""Ccl4"")",Ccl4,Ccl4,P50230,,
3464,Protein,RGD,10116.0,Activation of G protein gated Potassium channels;Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,G protein-activated inward rectifier potassium channel 2,False,,"p(RGD:""Kcnj6"")",Kcnj6,Kcnj6,P48550,,
3465,Protein,HGNC,9606.0,,Alpha-synuclein,,,"p(HGNC:""SNCA"",loc(GO:""nucleus""))",SNCA,SNCA,P37840,,1574X7674
3466,Protein,HGNC,9606.0,Regulation of Complement cascade;Neutrophil degranulation;COPI-mediated anterograde transport;Class B/2 (Secretin family receptors),Complement decay-accelerating factor,False,,"p(HGNC:""CD55"")",CD55,CD55,P08174,#1783:15223;#1777:8386;#1771:3636;#1780:10473,1568X5657
3467,Protein,RGD,10116.0,,,False,,"p(RGD:""RT1-CE1"")",RT1-CE1,RT1-CE1,,,
3468,Protein,RGD,10116.0,HS-GAG degradation;ECM proteoglycans;Retinoid metabolism and transport;A tetrasaccharide linker sequence is required for GAG synthesis;HS-GAG biosynthesis,Agrin,False,,"p(RGD:""Agrn"")",Agrn,Agrn,P25304,,
